dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.478110,17.158998,3.939032,5.750105,4.197157,-0.000000,0.012931
0.020000,8.593941,17.160529,4.054873,5.834048,4.197157,0.000000,0.013491
0.020000,8.711450,17.162148,4.172394,5.917991,4.197157,-0.000000,0.014070
0.020000,8.830637,17.163861,4.291593,6.001935,4.197157,0.000000,0.014668
0.020000,8.951502,17.165671,4.412471,6.085878,4.197157,0.000000,0.015286
0.020000,9.074044,17.167583,4.535028,6.169821,4.197157,-0.000000,0.015923
0.020000,9.198263,17.169602,4.659264,6.253764,4.197157,0.000000,0.016581
0.020000,9.324160,17.171732,4.785179,6.337707,4.197157,-0.000000,0.017260
0.020000,9.451734,17.173979,4.912772,6.421650,4.197157,0.000000,0.017961
0.020000,9.580985,17.176347,5.042045,6.505593,4.197157,-0.000000,0.018683
0.020000,9.711912,17.178842,5.172996,6.589537,4.197157,-0.000000,0.019428
0.020000,9.844516,17.181470,5.305626,6.673480,4.197157,0.000000,0.020195
0.020000,9.978797,17.184235,5.439935,6.757423,4.197157,-0.000000,0.020986
0.020000,10.114754,17.187144,5.575923,6.841366,4.197157,0.000000,0.021801
0.020000,10.252386,17.190202,5.713590,6.925309,4.197157,-0.000000,0.022640
0.020000,10.391695,17.193417,5.852936,7.009252,4.197157,-0.000000,0.023505
0.020000,10.532679,17.196794,5.993960,7.093195,4.197157,0.000000,0.024394
0.020000,10.675338,17.200340,6.136663,7.177139,4.197157,0.000000,0.025310
0.020000,10.819672,17.204062,6.281046,7.261082,4.197157,0.000000,0.026253
0.020000,10.957002,17.207223,6.427107,7.345025,4.197157,0.000000,0.019329
0.020000,11.104724,17.209507,6.574847,7.428968,4.197157,-0.000000,0.011646
0.020000,11.254138,17.210689,6.724265,7.512911,4.197157,0.000000,0.004236
0.020000,11.405235,17.210786,6.875363,7.596854,4.197157,-0.000000,6.280299
0.020000,11.558008,17.209819,7.028139,7.680797,4.197157,0.000000,6.273478
0.020000,11.712451,17.207812,7.182595,7.764741,4.197157,0.000000,6.266971
0.020000,11.868555,17.204793,7.338729,7.848684,4.197157,-0.000000,6.260793
0.020000,12.026318,17.200794,7.496542,7.932627,4.197157,0.000000,6.254956
0.020000,12.185733,17.195850,7.656034,8.016570,4.197157,-0.000000,6.249474
0.020000,12.346797,17.190000,7.817205,8.100513,4.197157,0.000000,6.244360
0.020000,12.509508,17.183288,7.980055,8.184456,4.197157,-0.000000,6.239628
0.020000,12.673864,17.175761,8.144583,8.268399,4.197157,-0.000000,6.235289
0.020000,12.839865,17.167471,8.310791,8.352343,4.197157,0.000000,6.231358
0.020000,13.007510,17.158473,8.478677,8.436286,4.197157,0.000000,6.227848
0.020000,13.176800,17.148828,8.648242,8.520229,4.197157,0.000000,6.224772
0.020000,13.347739,17.138599,8.819486,8.604172,4.197157,0.000000,6.222143
0.020000,13.520327,17.127856,8.992409,8.688115,4.197157,0.000000,6.219975
0.020000,13.694570,17.116672,9.167011,8.772058,4.197157,0.000000,6.218281
0.020000,13.870472,17.105125,9.343291,8.856001,4.197157,0.000000,6.217076
0.020000,14.048039,17.093299,9.521251,8.939945,4.197157,0.000000,6.216374
0.020000,14.227274,17.081281,9.700889,9.023888,4.197157,0.000000,6.216188
0.020000,14.408186,17.069166,9.882206,9.107831,4.197157,0.000000,6.216534
0.020000,14.590781,17.057051,10.065202,9.191774,4.197157,0.000000,6.217426
0.020000,14.775065,17.045041,10.249877,9.275717,4.197157,-0.000000,6.218881
0.020000,14.961045,17.033246,10.436231,9.359660,4.197157,0.000000,6.220913
0.020000,15.148728,17.021782,10.624264,9.443603,4.197157,0.000000,6.223539
0.020000,15.338119,17.010770,10.813975,9.527547,4.197157,-0.000000,6.226774
0.020000,15.529225,17.000339,11.005366,9.611490,4.197157,0.000000,6.230636
0.020000,15.722050,16.990622,11.198435,9.695433,4.197157,0.000000,6.235140
0.020000,15.916596,16.981761,11.393183,9.779376,4.197157,0.000000,6.240305
0.020000,16.112865,16.973904,11.589610,9.863319,4.197157,0.000000,6.246146
0.020000,16.310857,16.967204,11.787716,9.947262,4.197157,0.000000,6.252680
0.020000,16.510569,16.961823,11.987500,10.031205,4.197157,0.000000,6.259926
0.020000,16.711994,16.957929,12.188964,10.115149,4.197157,-0.000000,6.267897
0.020000,16.915124,16.955697,12.392106,10.199092,4.197157,0.000000,6.276611
0.020000,17.119944,16.955309,12.596927,10.283035,4.197157,-0.000000,0.002898
0.020000,17.326010,16.956947,12.803001,10.324282,2.062341,-106.740807,0.013119
0.020000,17.532032,16.960762,13.009059,10.281585,-2.134816,-209.857853,0.024028
0.020000,17.736733,16.966850,13.213852,10.197642,-4.197157,-103.117046,0.035548
0.020000,17.939670,16.975284,13.416965,10.113699,-4.197157,0.000000,0.047632
0.020000,18.140810,16.986135,13.618400,10.029756,-4.197157,-0.000000,0.060256
0.020000,18.340120,16.999463,13.818155,9.945813,-4.197157,0.000000,0.073392
0.020000,18.537559,17.015322,14.016232,9.861870,-4.197157,0.000000,0.087013
0.020000,18.733088,17.033757,14.212630,9.777926,-4.197157,-0.000000,0.101088
0.020000,18.926665,17.054803,14.407349,9.693983,-4.197157,0.000000,0.115586
0.020000,19.118245,17.078484,14.600389,9.610040,-4.197157,-0.000000,0.130475
0.020000,19.307784,17.104819,14.791751,9.526097,-4.197157,0.000000,0.145721
0.020000,19.495235,17.133815,14.981433,9.442154,-4.197157,0.000000,0.161290
