dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.560746,18.259492,5.015949,6.424501,4.137826,-0.066347,0.018683
0.020000,9.690867,18.261971,5.146094,6.507231,4.136484,-0.067101,0.019428
0.020000,9.822640,18.264582,5.277892,6.589933,4.135124,-0.068009,0.020195
0.020000,9.956064,18.267330,5.411345,6.672608,4.133748,-0.068789,0.020986
0.020000,10.091138,18.270220,5.546450,6.755255,4.132355,-0.069670,0.021801
0.020000,10.227861,18.273258,5.683207,6.837874,4.130946,-0.070428,0.022640
0.020000,10.366234,18.276451,5.821616,6.920464,4.129520,-0.071301,0.023505
0.020000,10.506254,18.279805,5.961677,7.003026,4.128079,-0.072030,0.024394
0.020000,10.647922,18.283326,6.103388,7.085558,4.126619,-0.073014,0.025310
0.020000,10.791235,18.287022,6.246749,7.168061,4.125148,-0.073578,0.026253
0.020000,10.936064,18.290354,6.391616,7.243331,3.763492,-18.082760,0.019329
0.020000,11.092108,18.292767,6.547679,7.803154,27.991121,1211.381443,0.011646
0.020000,11.249549,18.294012,6.705125,7.872285,3.456582,-1226.726986,0.004236
0.020000,11.408362,18.294115,6.863938,7.940664,3.418958,-1.881161,6.280299
0.020000,11.568525,18.293101,7.024104,8.008298,3.381678,-1.864008,6.273478
0.020000,11.730015,18.291003,7.185608,8.075194,3.344820,-1.842909,6.266971
0.020000,11.892812,18.287855,7.348435,8.141361,3.308306,-1.825706,6.260793
0.020000,12.056895,18.283696,7.512571,8.206803,3.272106,-1.810015,6.254956
0.020000,12.222246,18.278568,7.678002,8.271525,3.236140,-1.798290,6.249474
0.020000,12.388847,18.272517,7.844712,8.335533,3.200401,-1.786943,6.244360
0.020000,12.556681,18.265594,8.012689,8.398829,3.164771,-1.781499,6.239628
0.020000,12.725732,18.257852,8.181917,8.461413,3.129214,-1.777852,6.235289
0.020000,12.895985,18.249350,8.352383,8.523285,3.093607,-1.780332,6.231358
0.020000,13.067428,18.240148,8.524072,8.584443,3.057905,-1.785100,6.227848
0.020000,13.240045,18.230313,8.696969,8.644883,3.021961,-1.797201,6.224772
0.020000,13.413826,18.219915,8.871061,8.704598,2.985781,-1.809011,6.222143
0.020000,13.588759,18.209026,9.046333,8.763581,2.949132,-1.832451,6.219975
0.020000,13.764834,18.197724,9.222769,8.821823,2.912081,-1.852539,6.218281
0.020000,13.942038,18.186092,9.400356,8.879311,2.874416,-1.883282,6.217076
0.020000,14.120364,18.174215,9.579076,8.936033,2.836125,-1.914517,6.216374
0.020000,14.299801,18.162184,9.758916,8.991976,2.797109,-1.950817,6.216188
0.020000,14.480339,18.150094,9.939858,9.047122,2.757305,-1.990178,6.216534
0.020000,14.661969,18.138043,10.121887,9.101455,2.716683,-2.031125,6.217426
0.020000,14.844680,18.126136,10.304987,9.154959,2.675204,-2.073949,6.218881
0.020000,15.028463,18.114480,10.489139,9.207616,2.632843,-2.118048,6.220913
0.020000,15.213307,18.103189,10.674327,9.259409,2.589658,-2.159253,6.223539
0.020000,15.399199,18.092380,10.860534,9.310322,2.545651,-2.200363,6.226774
0.020000,15.586128,18.082177,11.047740,9.360342,2.500966,-2.234242,6.230636
0.020000,15.774078,18.072705,11.235929,9.409455,2.455683,-2.264124,6.235140
0.020000,15.963036,18.064099,11.425083,9.457655,2.409975,-2.285415,6.240305
0.020000,16.152982,18.056494,11.615181,9.504938,2.364142,-2.291664,6.246146
0.020000,16.343899,18.050033,11.806207,9.551306,2.318402,-2.286983,6.252680
0.020000,16.535765,18.044863,11.998143,9.596770,2.273207,-2.259763,6.259926
0.020000,16.728556,18.041136,12.190970,9.641349,2.228943,-2.213188,6.267897
0.020000,16.922246,18.039007,12.384671,9.685072,2.186172,-2.138575,6.276611
0.020000,17.116805,18.038637,12.579231,9.727983,2.145549,-2.031151,0.002898
0.020000,17.311798,18.040187,12.774230,9.749977,1.099705,-52.292188,0.013119
0.020000,17.506004,18.043783,12.968469,9.711950,-1.901353,-150.052865,0.024028
0.020000,17.698231,18.049499,13.160781,9.615584,-4.818333,-145.849022,0.035548
0.020000,17.888088,18.057389,13.350802,9.501040,-5.727153,-45.440981,0.047632
0.020000,18.075573,18.067502,13.538559,9.387876,-5.658233,3.445993,0.060256
0.020000,18.260682,18.079880,13.724083,9.276165,-5.585536,3.634859,0.073392
0.020000,18.443414,18.094557,13.907403,9.165989,-5.508795,3.837038,0.087013
0.020000,18.623763,18.111560,14.088551,9.057427,-5.428119,4.033786,0.101088
0.020000,18.801725,18.130907,14.267562,8.950552,-5.343718,4.220070,0.115586
0.020000,18.977298,18.152609,14.444471,8.845438,-5.255713,4.400210,0.130475
0.020000,19.150477,18.176671,14.619314,8.742154,-5.164226,4.574368,0.145721
0.020000,19.321261,18.203088,14.792129,8.640751,-5.070133,4.704667,0.161290
0.020000,19.526914,18.234602,15.000182,10.402667,88.095811,4658.297214,0.139299
0.020000,19.735959,18.261429,15.210942,10.537976,6.765414,-4066.519877,0.116740
